subjectid,gender,birthdate,genotype,cagenumber,health,cagemates,experimenter,tasktypedone,notes,intensityofcost1,intensityofcost2,intensityofcost3,intensityofcost4,costprobability1,costprobability2,costprobability3,costprobability4,rewardconcentration1,rewardconcentration2,rewardconcentration3,rewardconcentration4,rewardvolume1,rewardvolume2,rewardvolume3,rewardvolume4,rewardprobability1,rewardprobability2,rewardprobability3,rewardprobability4,mazenumber,approachavoidtimestamp,approachavoid,playstarttrialtone,presentcost,lightlevel,referencetime,videostartime,feeder,stoptrack,trialname,detectionsettings,trialcontrolsettings,referenceduration,animalid,mazeofferdelivery,mazenoofferdelivery,starttime,recordingafter,recordingduration,trialduration,mazecostoff,coordinatetimes,xcoordinates,ycoordinates,presentcostend,costpresenetationfinish,stopincopixrecording,decisionmakingtime,startincopixrecording,date,activezonetimestamp,activezonevalue,presentcostontimestamp,costacknowledgementtimestamp,deliveryacknowledgementtimestamp,coordinatetimes2,xcoordinates2,ycoordinates2,xtail,ytail,xnose,ynose,direction,truextail,trueytail,truexnose,trueynose,truedirection,id
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:44:56.0,03/03/2022 10:44:55.9,4,22.8,Trial    17,v.1 Detection Settings,P3 L1 Opposite,0:00:29.9,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:44:56.0,0:00:07.0,0:00:22.9,0:00:29.9,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,34.000000,5.6,6.4,14.3,,,,,,,,,,,,,,136020
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:44:56.0,03/03/2022 10:44:55.9,.,22.8,Trial    17,v.1 Detection Settings,P3 L1 Opposite,0:00:29.9,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:44:56.0,0:00:07.0,0:00:22.9,0:00:29.9,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,8.1,,,,,,,,,,,,,,136021
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:45:47.2,03/03/2022 10:45:47.1,2,22.6,Trial    18,v.1 Detection Settings,P3 L3 Opposite,0:00:29.7,none,12.2,12.2,03/03/2022 10:45:47.2,0:00:07.0,0:00:22.7,0:00:29.7,12.2,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,12.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136022
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:45:47.2,03/03/2022 10:45:47.1,3,22.6,Trial    18,v.1 Detection Settings,P3 L3 Opposite,0:00:29.7,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:45:47.2,0:00:07.0,0:00:22.7,0:00:29.7,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,23.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136023
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:45:47.2,03/03/2022 10:45:47.1,3,22.6,Trial    18,v.1 Detection Settings,P3 L3 Opposite,0:00:29.7,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:45:47.2,0:00:07.0,0:00:22.7,0:00:29.7,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,33.000000,5.6,6.2,14.1,,,,,,,,,,,,,,136024
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:45:47.2,03/03/2022 10:45:47.1,.,22.6,Trial    18,v.1 Detection Settings,P3 L3 Opposite,0:00:29.7,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:45:47.2,0:00:07.0,0:00:22.7,0:00:29.7,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,8.1,,,,,,,,,,,,,,136025
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:46:38.0,03/03/2022 10:46:38.0,2,23.3,Trial    19,v.1 Detection Settings,P3 L3 Opposite,0:00:30.4,none,12.2,12.2,03/03/2022 10:46:38.0,0:00:07.0,0:00:23.4,0:00:30.4,12.2,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,12.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136026
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:46:38.0,03/03/2022 10:46:38.0,2,23.3,Trial    19,v.1 Detection Settings,P3 L3 Opposite,0:00:30.4,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:46:38.0,0:00:07.0,0:00:23.4,0:00:30.4,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.7,22.000000,5.7,5.7,12.3,,,,,,,,,,,,,,136027
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,12.9,1.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:46:38.0,03/03/2022 10:46:38.0,1,23.3,Trial    19,v.1 Detection Settings,P3 L3 Opposite,0:00:30.4,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:46:38.0,0:00:07.0,0:00:23.4,0:00:30.4,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,31.000000,5.6,6.3,14.8,,,,,,,,,,,,,,136028
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:46:38.0,03/03/2022 10:46:38.0,4,23.3,Trial    19,v.1 Detection Settings,P3 L3 Opposite,0:00:30.4,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:46:38.0,0:00:07.0,0:00:23.4,0:00:30.4,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,44.000000,5.6,5.6,10.7,,,,,,,,,,,,,,136029
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:47:29.7,03/03/2022 10:47:29.6,2,23.1,Trial    20,v.1 Detection Settings,P3 L3 Opposite,0:00:30.2,none,12.2,12.2,03/03/2022 10:47:29.7,0:00:07.0,0:00:23.2,0:00:30.2,12.2,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,12.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136030
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:47:29.7,03/03/2022 10:47:29.6,1,23.1,Trial    20,v.1 Detection Settings,P3 L3 Opposite,0:00:30.2,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:47:29.7,0:00:07.0,0:00:23.2,0:00:30.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,6,21.000000,6,6,12.6,,,,,,,,,,,,,,136031
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:47:29.7,03/03/2022 10:47:29.6,3,23.1,Trial    20,v.1 Detection Settings,P3 L3 Opposite,0:00:30.2,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:47:29.7,0:00:07.0,0:00:23.2,0:00:30.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,33.000000,5.6,6.6,14.6,,,,,,,,,,,,,,136032
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,NOT FOUND IN NODULUS,2,03/03/2022 10:47:29.7,03/03/2022 10:47:29.6,.,23.1,Trial    20,v.1 Detection Settings,P3 L3 Opposite,0:00:30.2,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:47:29.7,0:00:07.0,0:00:23.2,0:00:30.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,10.5,,,,,,,,,,,,,,136033
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:48:21.0,03/03/2022 10:48:21.0,2,23.3,Trial    21,v.1 Detection Settings,P3 L2 Opposite,0:00:30.4,none,12.2,12.2,03/03/2022 10:48:21.0,0:00:07.0,0:00:23.4,0:00:30.4,12.2,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,12.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136034
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,13,1.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:48:21.0,03/03/2022 10:48:21.0,1,23.3,Trial    21,v.1 Detection Settings,P3 L2 Opposite,0:00:30.4,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:48:21.0,0:00:07.0,0:00:23.4,0:00:30.4,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,21.000000,5.6,5.6,13,,,,,,,,,,,,,,136035
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,12.9,1.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:48:21.0,03/03/2022 10:48:21.0,2,23.3,Trial    21,v.1 Detection Settings,P3 L2 Opposite,0:00:30.4,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:48:21.0,0:00:07.0,0:00:23.4,0:00:30.4,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,32.000000,5.6,6.3,14.8,,,,,,,,,,,,,,136036
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:58:42.1,03/03/2022 10:58:42.0,.,20.2,Trial    33,v.1 Detection Settings,P3 L1 Opposite,0:00:27.3,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:58:42.1,0:00:07.0,0:00:20.3,0:00:27.3,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,10.2,,,,,,,,,,,,,,136084
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,10.7,1.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:48:21.0,03/03/2022 10:48:21.0,2,23.3,Trial    21,v.1 Detection Settings,P3 L2 Opposite,0:00:30.4,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:48:21.0,0:00:07.0,0:00:23.4,0:00:30.4,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,42.000000,NOT FOUND IN NODULUS,5.6,10.7,,,,,,,,,,,,,,136037
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:49:12.7,03/03/2022 10:49:12.6,2,22.6,Trial    22,v.1 Detection Settings,P3 L1 Opposite,0:00:29.7,none,12.2,12.2,03/03/2022 10:49:12.7,0:00:07.0,0:00:22.7,0:00:29.7,12.2,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,12.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136038
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:49:12.7,03/03/2022 10:49:12.6,1,22.6,Trial    22,v.1 Detection Settings,P3 L1 Opposite,0:00:29.7,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:49:12.7,0:00:07.0,0:00:22.7,0:00:29.7,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,8,21.000000,8,8,14.6,,,,,,,,,,,,,,136039
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:49:12.7,03/03/2022 10:49:12.6,.,22.6,Trial    22,v.1 Detection Settings,P3 L1 Opposite,0:00:29.7,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:49:12.7,0:00:07.0,0:00:22.7,0:00:29.7,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,10.6,,,,,,,,,,,,,,136040
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:49:12.7,03/03/2022 10:49:12.6,.,22.6,Trial    22,v.1 Detection Settings,P3 L1 Opposite,0:00:29.7,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:49:12.7,0:00:07.0,0:00:22.7,0:00:29.7,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,8.2,,,,,,,,,,,,,,136041
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:50:03.5,03/03/2022 10:50:03.5,2,23.8,Trial    23,v.1 Detection Settings,P3 L3 Opposite,0:00:30.9,none,12.2,12.2,03/03/2022 10:50:03.5,0:00:07.0,0:00:23.9,0:00:30.9,12.2,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,12.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136042
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:50:03.5,03/03/2022 10:50:03.5,1,23.8,Trial    23,v.1 Detection Settings,P3 L3 Opposite,0:00:30.9,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:50:03.5,0:00:07.0,0:00:23.9,0:00:30.9,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,6.7,21.000000,6.7,6.7,13.3,,,,,,,,,,,,,,136043
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,13.5,1.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:50:03.5,03/03/2022 10:50:03.5,4,23.8,Trial    23,v.1 Detection Settings,P3 L3 Opposite,0:00:30.9,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:50:03.5,0:00:07.0,0:00:23.9,0:00:30.9,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,34.000000,5.6,6.9,15.3,,,,,,,,,,,,,,136044
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:50:03.5,03/03/2022 10:50:03.5,.,23.8,Trial    23,v.1 Detection Settings,P3 L3 Opposite,0:00:30.9,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:50:03.5,0:00:07.0,0:00:23.9,0:00:30.9,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,8.1,,,,,,,,,,,,,,136045
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:50:55.7,03/03/2022 10:50:55.6,2,23.6,Trial    24,v.1 Detection Settings,P3 L3 Opposite,0:00:30.7,none,12.2,12.2,03/03/2022 10:50:55.7,0:00:07.0,0:00:23.7,0:00:30.7,12.2,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,12.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136046
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:50:55.7,03/03/2022 10:50:55.6,2,23.6,Trial    24,v.1 Detection Settings,P3 L3 Opposite,0:00:30.7,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:50:55.7,0:00:07.0,0:00:23.7,0:00:30.7,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,7.1,22.000000,7.1,7.1,13.7,,,,,,,,,,,,,,136047
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,13.3,1.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:50:55.7,03/03/2022 10:50:55.6,1,23.6,Trial    24,v.1 Detection Settings,P3 L3 Opposite,0:00:30.7,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:50:55.7,0:00:07.0,0:00:23.7,0:00:30.7,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,31.000000,5.6,6.7,15.1,,,,,,,,,,,,,,136048
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,10.7,1.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:50:55.7,03/03/2022 10:50:55.6,4,23.6,Trial    24,v.1 Detection Settings,P3 L3 Opposite,0:00:30.7,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:50:55.7,0:00:07.0,0:00:23.7,0:00:30.7,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,44.000000,5.6,5.6,10.7,,,,,,,,,,,,,,136049
none,none,none,none,none,none,none,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:51:47.5,03/03/2022 10:51:47.5,2,23.3,Trial    25,v.1 Detection Settings,P3 L2 Opposite,0:00:30.4,none,12.2,12.2,03/03/2022 10:51:47.5,0:00:07.0,0:00:23.4,0:00:30.4,12.2,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,12.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136050
