subjectid,gender,birthdate,genotype,cagenumber,health,cagemates,experimenter,tasktypedone,notes,intensityofcost1,intensityofcost2,intensityofcost3,intensityofcost4,costprobability1,costprobability2,costprobability3,costprobability4,rewardconcentration1,rewardconcentration2,rewardconcentration3,rewardconcentration4,rewardvolume1,rewardvolume2,rewardvolume3,rewardvolume4,rewardprobability1,rewardprobability2,rewardprobability3,rewardprobability4,mazenumber,approachavoidtimestamp,approachavoid,playstarttrialtone,presentcost,lightlevel,referencetime,videostartime,feeder,stoptrack,trialname,detectionsettings,trialcontrolsettings,referenceduration,animalid,mazeofferdelivery,mazenoofferdelivery,starttime,recordingafter,recordingduration,trialduration,mazecostoff,coordinatetimes,xcoordinates,ycoordinates,presentcostend,costpresenetationfinish,stopincopixrecording,decisionmakingtime,startincopixrecording,date,activezonetimestamp,activezonevalue,presentcostontimestamp,costacknowledgementtimestamp,deliveryacknowledgementtimestamp,coordinatetimes2,xcoordinates2,ycoordinates2,xtail,ytail,xnose,ynose,direction,truextail,trueytail,truexnose,trueynose,truedirection,id
scar,Male,07/06/2021,CRL: Long Evans,14300,N/A,Simba,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,10.3,1.000000,2,3,1,01/05/2022 15:17:20.1,01/05/2022 15:17:20.1,3,20.1,Trial     6,v.1 Detection Settings,P2 Horizontal L2,0:00:27.2,Fake Rat,10.3,13.1,01/05/2022 15:17:20.1,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53086
simba,male,07/06/2021,CRL: Long Evans,14300,N/A,Scar,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,11.1,1.000000,2,3,1,01/05/2022 15:17:20.1,01/05/2022 15:17:20.1,3,20.1,Trial     6,v.1 Detection Settings,P2 Horizontal L2,0:00:27.2,Fake Rat og,11.1,13.1,01/05/2022 15:17:20.1,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53087
jimi,Male,07/06/2021,CRL: Long Evans,14301,N/A,Johnny,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:17:20.1,01/05/2022 15:17:20.1,3,20.1,Trial     6,v.1 Detection Settings,P2 Horizontal L2,0:00:27.2,Scar,13.1,11.1,01/05/2022 15:17:20.1,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53088
alexis,Female,07/06/2021,CRL: Long Evans,14290,N/A,Sarah,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,10.3,1.000000,2,3,1,01/05/2022 15:38:21.0,01/05/2022 15:38:20.9,1,20.1,Trial     1,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Alexis,10.3,13.1,01/05/2022 15:38:21.0,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53089
sarah,Female,07/06/2021,CRL: Long Evans,14290,N/A,Alexis,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:38:21.0,01/05/2022 15:38:20.9,1,20.1,Trial     1,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Sarah,13.1,11.1,01/05/2022 15:38:21.0,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53090
johnny,male,07/06/2021,CRL: Long Evans,14301,N/A,jimi,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,11.1,1.000000,2,3,1,01/05/2022 15:17:20.1,01/05/2022 15:17:20.1,3,20.1,Trial     6,v.1 Detection Settings,P2 Horizontal L2,0:00:27.2,Simba,11.1,13.1,01/05/2022 15:17:20.1,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53091
kryssia,Female,07/06/2021,CRL: Long Evans,14291,N/A,Raven,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:38:21.0,01/05/2022 15:38:20.9,1,20.1,Trial     1,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Kryssia,13.1,11.1,01/05/2022 15:38:21.0,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53092
raven,Female,07/06/2021,CRL: Long Evans,14291,N/A,Kryssia,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:38:21.0,01/05/2022 15:38:20.9,1,20.1,Trial     1,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Raven,13.1,11.1,01/05/2022 15:38:21.0,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53093
scar,Male,07/06/2021,CRL: Long Evans,14300,N/A,Simba,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,3,1,01/05/2022 15:18:08.8,01/05/2022 15:18:08.8,1,20.1,Trial     7,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Fake Rat,13.1,11.1,01/05/2022 15:18:08.8,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53094
alexis,Female,07/06/2021,CRL: Long Evans,14290,N/A,Sarah,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,3,1,01/05/2022 15:39:09.7,01/05/2022 15:39:09.6,2,20.1,Trial     2,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Alexis,13.1,11.1,01/05/2022 15:39:09.7,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53095
sarah,Female,07/06/2021,CRL: Long Evans,14290,N/A,Alexis,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:39:09.7,01/05/2022 15:39:09.6,2,20.1,Trial     2,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Sarah,13.1,11.1,01/05/2022 15:39:09.7,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53096
simba,male,07/06/2021,CRL: Long Evans,14300,N/A,Scar,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:18:08.8,01/05/2022 15:18:08.8,1,20.1,Trial     7,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Fake Rat og,13.1,11.1,01/05/2022 15:18:08.8,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53097
kryssia,Female,07/06/2021,CRL: Long Evans,14291,N/A,Raven,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,11.1,1.000000,2,3,1,01/05/2022 15:39:09.7,01/05/2022 15:39:09.6,2,20.1,Trial     2,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Kryssia,11.1,13.1,01/05/2022 15:39:09.7,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53098
raven,Female,07/06/2021,CRL: Long Evans,14291,N/A,Kryssia,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:39:09.7,01/05/2022 15:39:09.6,2,20.1,Trial     2,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Raven,13.1,11.1,01/05/2022 15:39:09.7,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53099
jimi,Male,07/06/2021,CRL: Long Evans,14301,N/A,Johnny,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:18:08.8,01/05/2022 15:18:08.8,1,20.1,Trial     7,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Scar,13.1,11.1,01/05/2022 15:18:08.8,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53100
johnny,male,07/06/2021,CRL: Long Evans,14301,N/A,jimi,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:18:08.8,01/05/2022 15:18:08.8,1,20.1,Trial     7,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Simba,13.1,11.1,01/05/2022 15:18:08.8,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53101
scar,Male,07/06/2021,CRL: Long Evans,14300,N/A,Simba,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,3,1,01/05/2022 15:18:57.2,01/05/2022 15:18:57.2,4,20.1,Trial     8,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Fake Rat,13.1,11.1,01/05/2022 15:18:57.2,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53105
alexis,Female,07/06/2021,CRL: Long Evans,14290,N/A,Sarah,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,10.3,1.000000,2,3,1,01/05/2022 15:41:33.1,01/05/2022 15:41:33.0,4,20.1,Trial     4,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Alexis,10.3,13.1,01/05/2022 15:41:33.1,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53108
sarah,Female,07/06/2021,CRL: Long Evans,14290,N/A,Alexis,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:41:33.1,01/05/2022 15:41:33.0,4,20.1,Trial     4,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Sarah,13.1,11.1,01/05/2022 15:41:33.1,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53109
kryssia,Female,07/06/2021,CRL: Long Evans,14291,N/A,Raven,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:41:33.1,01/05/2022 15:41:33.0,4,20.1,Trial     4,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Kryssia,13.1,11.1,01/05/2022 15:41:33.1,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53111
johnny,male,07/06/2021,CRL: Long Evans,14301,N/A,jimi,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:18:57.2,01/05/2022 15:18:57.2,4,20.1,Trial     8,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Simba,13.1,11.1,01/05/2022 15:18:57.2,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53112
raven,Female,07/06/2021,CRL: Long Evans,14291,N/A,Kryssia,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,11.1,1.000000,2,3,1,01/05/2022 15:41:33.1,01/05/2022 15:41:33.0,4,20.1,Trial     4,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Raven,11.1,13.1,01/05/2022 15:41:33.1,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53113
alexis,Female,07/06/2021,CRL: Long Evans,14290,N/A,Sarah,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,10.3,1.000000,2,3,1,01/05/2022 15:42:21.5,01/05/2022 15:42:21.4,4,20.1,Trial     5,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Alexis,10.3,13.1,01/05/2022 15:42:21.5,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53114
sarah,Female,07/06/2021,CRL: Long Evans,14290,N/A,Alexis,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:42:21.5,01/05/2022 15:42:21.4,4,20.1,Trial     5,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Sarah,13.1,11.1,01/05/2022 15:42:21.5,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53115
kryssia,Female,07/06/2021,CRL: Long Evans,14291,N/A,Raven,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,11.1,1.000000,2,3,1,01/05/2022 15:42:21.5,01/05/2022 15:42:21.4,4,20.1,Trial     5,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Kryssia,11.1,13.1,01/05/2022 15:42:21.5,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53116
raven,Female,07/06/2021,CRL: Long Evans,14291,N/A,Kryssia,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:42:21.5,01/05/2022 15:42:21.4,4,20.1,Trial     5,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Raven,13.1,11.1,01/05/2022 15:42:21.5,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53118
alexis,Female,07/06/2021,CRL: Long Evans,14290,N/A,Sarah,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,3,1,01/05/2022 15:43:10.1,01/05/2022 15:43:10.1,3,20.1,Trial     6,v.1 Detection Settings,P2 Horizontal L2,0:00:27.2,Alexis,13.1,11.1,01/05/2022 15:43:10.1,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53121
sarah,Female,07/06/2021,CRL: Long Evans,14290,N/A,Alexis,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,11.1,1.000000,2,3,1,01/05/2022 15:43:10.1,01/05/2022 15:43:10.1,3,20.1,Trial     6,v.1 Detection Settings,P2 Horizontal L2,0:00:27.2,Sarah,11.1,13.1,01/05/2022 15:43:10.1,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53122
kryssia,Female,07/06/2021,CRL: Long Evans,14291,N/A,Raven,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:43:10.1,01/05/2022 15:43:10.1,3,20.1,Trial     6,v.1 Detection Settings,P2 Horizontal L2,0:00:27.2,Kryssia,13.1,11.1,01/05/2022 15:43:10.1,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53124
raven,Female,07/06/2021,CRL: Long Evans,14291,N/A,Kryssia,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:43:10.1,01/05/2022 15:43:10.1,3,20.1,Trial     6,v.1 Detection Settings,P2 Horizontal L2,0:00:27.2,Raven,13.1,11.1,01/05/2022 15:43:10.1,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53125
scar,Male,07/06/2021,CRL: Long Evans,14300,N/A,Simba,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,10.3,1.000000,2,3,1,01/05/2022 15:20:58.6,01/05/2022 15:20:58.6,2,20.1,Trial    10,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Fake Rat,10.3,13.1,01/05/2022 15:20:58.6,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53126
alexis,Female,07/06/2021,CRL: Long Evans,14290,N/A,Sarah,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,3,1,01/05/2022 15:43:58.5,01/05/2022 15:43:58.4,1,20.1,Trial     7,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Alexis,13.1,11.1,01/05/2022 15:43:58.5,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53127
